uid,identifier
15386,rebeccahall10211982
39014,stevenmadison7271953
90047,davidknotts2211945
69570,stevechaplin6131982
9052,henryrangel10221987
30992,josebetts221944
94250,randallsmith1251949
58459,annagray4231980
26650,noravega12211977
54848,ronaldbushee7261954
91026,christinagoodman2201966
4794,bethwalls1281946
85369,marybrown8141952
68389,sharonmeyer4291960
55648,johntucker5161959
35920,shannonparks1271938
91542,shirleycorwin12291984
67338,doramcewan2181970
83254,estelledean6201978
69397,yolandaross1221952
54187,shandawoods131940
79325,johnnieshepard8261998
7884,randywitter1241969
72644,juliegreen6131968
36088,lisawakeman5201949
67404,gerrilavin311957
63660,christiancurley5221992
52007,tarafielder3311968
87122,shawnphillips3261985
93691,jamikahollis6201980
77603,kylehenson511989
69117,sylviawaters11261980
60405,chriscummings9201957
24825,aaronmiller7121973
41304,brianacollins5231947
5876,williamcolon921948
65061,mariahills7271945
9778,kevinjones1061998
19363,janeshain541979
85221,larrychaves9141937
82651,sharonwhite7251947
84965,troyshaner1231976
81607,rosabelden4161958
99366,josephmilone7181937
26900,gerdajohnson7221966
47430,johnwallace161970
53629,hazelmorgan811969
13721,sallyfournier7231949
65724,albertrubin1051938
58196,henrybrown9261957
39434,dustinlewis1261957
44788,charlesmoran6241996
59073,johnwatts8141980
36480,joecamper8141980
42628,debrasheely5181943
70466,earlallen9131970
65516,paulahowe761994
54939,susanklein8151994
88084,stevieornelas7271939
66059,rubynumbers6231974
16356,dorothygrace4221947
60154,shanicegordon781988
28563,jasonmingo1221982
26643,jostuart181977
98132,michaelmcclure7241954
28263,jameslashley2261956
4172,vanessadavis2211993
41823,carlapendleton8281970
85860,stephanieho11261959
22975,juliarose331998
4309,billyanderson5121950
77739,michaellee3201997
68266,omarlyon8182002
63664,tinalewis181956
22542,shawnspangler11201953
18933,tanyacordero1141993
78806,reginajones211986
4099,ryanfoust5141997
86666,thomaslewin4261976
83457,tonylewis3241988
79671,janbaines7301997
6898,saradorsey1231976
97615,jackevans10231975
28500,jeffiehull1161938
65192,jessicacooper10161982
45126,richardwalter7251959
74381,carlosthorne3281991
605,cherisevargas10141937
27096,johnburgos251996
39171,dianneharris6141950
33648,lindacurl1271995
25625,jeffrymccown6181944
45575,melissariley181944
42793,josephmiller7231953
83465,margiejohnson11231969
25383,chrishall1051938
65281,davidcowan2171945
4694,williemurray12301987
48743,michaelleone5261967
32464,mitchelltrower8171965
5903,evaburruss3121945
6414,josephnear7241952
7646,calliebartos2131990
50314,andygray5231997
78470,louisemartin6251990
84591,jackscott1121986
51854,seanblake3281956
92716,johnlopez1141962
2210,velmavaughn5221975
23378,nathangibson3241954
80678,gracescott141970
63559,jamesmccoy8281951
92192,ruthmoss12251973
71036,marybolling10201994
18502,junegomez6121948
73742,johnnieschafer12311968
97232,luthersacks6271989
68939,michaelbradley10271945
6550,charlesmack12131974
77838,nancyholmes10131944
26340,donaldmatherne8261947
10517,orenweber3201989
89217,earlsanchez12231958
97627,miawinn8221974
15187,kirstinallen12271947
25424,daisycomer9151968
14735,jamespollard7141989
56584,jamescook11251988
82022,juanmaloney6301967
65473,sandrafloyd3231948
34456,idabanks12201962
33498,jameshatcher2141979
85131,harryluna9281946
37747,stevedavis1141985
85907,normaleon331974
11415,sandralewis10251968
60635,russellmarin6221984
53348,justinrose1261997
78841,josephmedina1122001
19169,renalong10131968
76896,traceymyers9201986
51164,kimberlysmith8131945
92823,bessiewegner6201967
22728,michaelbrown2161993
70610,gracekelly12281939
89387,erichaney12271995
49039,joycepage1221960
72308,mikespencer5301952
18210,bethannfowler231963
51344,deborahleggett1131945
18226,bethsherrill4291973
26417,rebeccamills6231957
79878,jeffreysimone7281974
47615,eugenehaman9221990
18756,lindawray10131985
76647,amiegray6291940
85946,sandrawolfe11281995
77808,adanbrowne1171949
97398,ramonhess9261953
73858,stevemccomas3181996
