GivenName	Surname	Birthday	twostephash	uid
Darlene	Santana	2/5/1994	{1319937, 755203, 1457668, 101897, 1161227, 235022, 1285147, 1545246, 1158176, 88097, 629283, 1778732, 285240, 1282105, 2023995, 1816127, 335937, 417346, 1687619, 1245764, 1339974, 784457, 1882185, 191052, 555087, 1951825, 1510995, 570454, 1746518, 1402456, 312922, 818267, 1000026, 1124955, 602206, 1432668, 1986147, 1559140, 550502, 541799, 360040, 1529960, 2031209, 489070, 645231, 1497198, 1113201, 1804402, 730739, 105599, 327813, 1084552, 1273480, 126090, 1335949, 634510, 389268, 1827990, 1431703, 1598623, 39072, 119456, 518823, 1839275, 938668, 138930, 58562, 411854, 500431, 1166542, 1390292, 599770, 142048, 1609953, 1638112, 38627, 1631460, 1397989, 1010921, 170219, 1425643, 152815, 1871089, 1296629, 1131766, 109815, 861944, 435960, 1393398, 798459, 1019131, 961277, 218366, 713477, 301830, 310024, 390925, 1908495, 526096, 531729, 608529, 691473, 2005271, 244505, 157466, 1265954, 295718, 1326888, 1308969, 1090349, 433966, 1263919, 1058099, 739124, 355125, 657207, 1252152, 1849144, 388418, 1601869, 1442126, 1857869, 1305424, 2008916, 1816921, 1527131, 971617, 1591142, 1589609, 26474, 157547, 1367917, 1918322, 1387894, 507773, 1735554, 1513860, 1937797, 1922953, 1210768, 909717, 718743, 266648, 834971, 890783, 1934753, 243114, 963499, 1043373, 1551280, 1610673, 709557, 337846, 1765309, 889790, 1920457, 36298, 290766, 1836499, 1758678, 1419741, 1260510, 1830367, 1543649, 1794022, 929258, 150507, 1147370, 1915371, 536047, 1553905, 1461235, 2003449}	23425
Laura	Houck	8/25/1991	{1319937, 1654275, 101897, 1553424, 1609247, 1252384, 1437221, 780844, 970797, 1790509, 1354292, 487992, 285240, 1468989, 67648, 884805, 1339974, 520263, 1865797, 1011789, 134734, 555087, 218193, 1510995, 191061, 713816, 312922, 394333, 543326, 1980512, 1675361, 1140838, 1529960, 1412713, 176235, 1497198, 650354, 1392755, 1273467, 626816, 815745, 1084552, 1471624, 1034891, 622736, 2031761, 1087637, 1303704, 446107, 897694, 682655, 625313, 727717, 518823, 579244, 738992, 2002609, 1994425, 1150652, 1024191, 1130690, 644808, 864458, 1551052, 499411, 1390292, 785110, 1942750, 1145055, 1638112, 691949, 861934, 224495, 1531120, 1871089, 1760506, 798459, 746235, 234237, 1592572, 544513, 1535745, 301830, 976647, 1225991, 672524, 529166, 531729, 1875217, 781589, 160536, 633628, 635165, 253214, 1711399, 321832, 1308969, 2037031, 156972, 822067, 209716, 1811257, 299841, 388418, 574273, 1598273, 1579845, 1305929, 778066, 1709907, 2008916, 1088854, 432985, 620388, 26474, 752495, 683890, 348531, 1387894, 2026872, 1352057, 1428349, 1881981, 1735554, 456579, 1513860, 1122183, 1922953, 1063307, 239508, 1895828, 1174935, 266648, 1763736, 201629, 1934753, 244135, 1809834, 1114028, 113070, 298420, 1431989, 438710, 330680, 910776, 889790, 816577, 139205, 730567, 1920457, 1559498, 1762763, 69580, 1821648, 1836499, 1620440, 1393628, 1419741, 1281504, 1768931, 744421, 2005477, 1147370, 416749, 237552, 2003449, 1612794, 588798}	87639
Norman	Hopper	8/28/1949	{408582, 459782, 1527824, 827413, 1814554, 1998875, 1252384, 292394, 689711, 1805363, 1354292, 442423, 1837624, 285240, 2023995, 882748, 561212, 1213502, 644684, 1011789, 134734, 555087, 805454, 664659, 201301, 317525, 861270, 101464, 312922, 712284, 547421, 1432668, 1240159, 1529960, 1159274, 176235, 496238, 296047, 1025134, 1497198, 223859, 441462, 1089657, 105599, 957063, 2185, 505994, 1413769, 1330321, 2031761, 1303704, 916633, 320157, 39072, 1608867, 518823, 540328, 1560747, 995509, 1942199, 364729, 1150652, 2042558, 2035905, 589507, 112330, 864458, 1551052, 1780939, 30926, 1568469, 1923285, 1866971, 1613534, 580324, 1210597, 217831, 1302249, 856813, 127731, 404213, 706806, 1296629, 1697530, 348413, 953599, 301830, 1483016, 672524, 936206, 526096, 1728790, 160536, 126746, 157466, 1765150, 819490, 169765, 321832, 329001, 1308969, 263470, 272686, 1368370, 1058099, 209716, 739124, 886073, 260412, 1534783, 57664, 574273, 927554, 1990466, 1579845, 1427272, 287049, 1305929, 315213, 605015, 1358681, 1061213, 1327971, 620388, 1730917, 1258855, 1970023, 26474, 1664366, 752495, 683890, 45428, 369014, 1387894, 1428349, 104319, 1804159, 499073, 1735554, 1937797, 1202566, 1588616, 1922953, 1063307, 386956, 1320331, 428946, 920478, 1565091, 1711014, 324012, 924590, 1610673, 1914801, 298420, 121269, 1975740, 889790, 36298, 818124, 1812429, 1836499, 1419741, 2027998, 1336287, 1768931, 1220581, 729066, 450027, 1147370, 1071088, 1461235, 799736, 2003449}	60559
Pearl	Lavergne	9/2/1965	{415744, 1654275, 1814024, 996362, 376336, 1588756, 272405, 827413, 1114645, 1719832, 438808, 61979, 749085, 1792548, 1271337, 1512491, 1269293, 285240, 1143867, 1816127, 335937, 1287755, 1668683, 1423437, 632398, 555087, 1011281, 664659, 1746518, 1195608, 1847897, 312922, 602206, 1592927, 1980512, 2030690, 845412, 1529960, 695403, 1497198, 5232, 223859, 329843, 369780, 502899, 571511, 990328, 730739, 894580, 231040, 402048, 370822, 1413769, 126090, 1335949, 2031761, 1143447, 1303704, 446107, 628389, 1316005, 518823, 540328, 700586, 1031851, 1839275, 1869994, 2002609, 1756346, 2042558, 58562, 1018563, 1130690, 1156290, 745673, 1780939, 500431, 727253, 936150, 891101, 316126, 761055, 142048, 366306, 1626344, 691949, 152815, 1247471, 627953, 1608435, 798459, 1795323, 961277, 953599, 1378565, 301830, 310024, 672524, 14612, 2005271, 160536, 244505, 293657, 635165, 321832, 1308969, 1326888, 465195, 1177901, 433966, 209716, 805173, 1252152, 260412, 824637, 90943, 112448, 1210689, 927554, 860996, 802120, 1758536, 1857869, 1442126, 1305424, 266578, 943444, 1088854, 432985, 379230, 971617, 620388, 1099621, 2036584, 1469296, 182642, 1387894, 900475, 507773, 614270, 1804159, 1735554, 1951619, 1678724, 1922953, 1063307, 1320331, 428946, 834971, 1043373, 551343, 1296304, 477617, 1189297, 348600, 338875, 1621947, 1975740, 889790, 646083, 1149897, 449482, 1812429, 1819599, 9681, 1836499, 1673178, 549339, 101853, 1260510, 1419741, 1311712, 1830367, 1790950, 908264, 295913, 1147370, 1409006, 1071088, 962548, 2003449}	51619
Edward	Jones	4/14/1992	{1319937, 101897, 1198091, 1114645, 1765399, 265753, 948766, 1252384, 88097, 193065, 583212, 1121324, 329262, 1785390, 1801775, 105522, 285240, 335937, 417346, 620099, 1090626, 1339974, 555087, 1686608, 1510995, 1746518, 960088, 312922, 1096797, 602206, 550502, 732774, 1354854, 1529960, 1501802, 496238, 175727, 1739374, 730739, 310390, 1953399, 1215607, 955516, 968323, 1353862, 313479, 1084552, 126090, 1360011, 435852, 891021, 1335949, 845455, 1494161, 1106578, 1643668, 1958038, 880798, 1146019, 518823, 1029799, 758441, 762539, 138930, 523954, 827575, 246456, 1478328, 981178, 69308, 1150652, 58562, 1070277, 1278153, 1081035, 1763534, 500431, 1058512, 1601748, 599770, 1638112, 132321, 1609953, 228583, 1789160, 1010921, 152815, 1393402, 798459, 1019131, 543997, 1902336, 301830, 531729, 943891, 838932, 1817363, 591647, 1340196, 703269, 1998628, 1308969, 953132, 433966, 572207, 884527, 272184, 501560, 315213, 1442126, 1837397, 1561430, 1676120, 564570, 1630558, 711528, 1589609, 157547, 326513, 1387894, 1735554, 411011, 1513860, 1951619, 590215, 1922953, 491403, 941973, 723350, 266648, 1466777, 834971, 1678235, 833953, 1029036, 1497522, 1103283, 709557, 1271736, 618426, 889790, 1447876, 393158, 1920457, 507854, 1836499, 1347542, 1419741, 323040, 1176545, 150507, 1594352, 83953, 1110517, 1751544, 2003449, 1645562}	11271
Jene	Harper	11/22/1984	{1213958, 996362, 390163, 1114645, 827413, 1200151, 2000408, 1814554, 590881, 1077797, 188458, 1265198, 1605166, 372784, 392246, 1954871, 285240, 310846, 1816127, 335937, 417346, 1687619, 1350212, 191052, 555087, 1746518, 668249, 312922, 1124955, 1765468, 395357, 602206, 1918556, 1294432, 80483, 973923, 550502, 1614951, 1529960, 1908326, 1497198, 223859, 730739, 1708149, 987768, 1595523, 1058436, 1307781, 1038983, 1413769, 126090, 1015946, 1335949, 2031761, 198803, 1897620, 1303704, 706205, 317602, 518823, 540328, 554162, 501944, 1144507, 1150652, 1298108, 2042558, 451777, 58562, 2035905, 979655, 112330, 1388234, 1358028, 1780939, 500431, 936150, 1224414, 1408223, 142048, 2024162, 38627, 1631460, 1010921, 1110762, 281842, 346866, 850162, 1608435, 1736946, 435960, 798459, 953599, 301830, 1393928, 672524, 608529, 1666833, 160536, 244505, 157466, 711960, 1617692, 1943320, 1713952, 321832, 433966, 209716, 805173, 1252152, 1865529, 2007355, 260412, 382269, 927554, 534341, 702790, 1758536, 315213, 1442126, 1508686, 1909584, 408915, 302932, 1837397, 84824, 1405785, 255834, 971617, 574819, 620388, 300390, -1685, 449387, 875883, 1754998, 207224, 14715, 507773, 1951619, 102280, 1588616, 1922953, 1063307, 1320331, 428946, 984981, 1504150, 834971, 1968540, 1386397, 193443, 402864, 683954, 832434, 1131964, 1702333, 889790, 1975740, 1812429, 744402, 1836499, 811991, 1419741, 1260510, 1830367, 872929, 1543649, 718823, 1500136, 153577, 295913, 1147370, 1071088, 1235447, 2003449, 1521659, 152574}	18534
Noel	Nelson	1/9/1992	{1319937, 101897, 1588759, 1998875, 1252384, 1533984, 679462, 1271337, 105522, 442423, 1183288, 1954871, 285240, 1198651, 882748, 417346, 620099, 1339974, 798282, 555087, 895568, 664659, 1510995, 1746518, 1005655, 312922, 597084, 547421, 1240159, 550502, 1018470, 1529960, 1159274, 1497198, 1739374, 458866, 730739, 951411, 1148530, 1404533, 987768, 1416825, 233087, 1058436, 1413766, 787079, 957063, 1084552, 1335949, 514192, 1330321, 1958038, 1146019, 518823, 1029799, 1839275, 1478328, 1150652, 1278153, 764620, 651481, 831196, 1299167, 1609953, 2024162, 1210597, 1626344, 1010921, 633579, 440557, 259310, 152815, 1227505, 460532, 1697530, 1112315, 1378565, 301830, 310024, 1986825, 1125644, 531729, 1666833, 943891, 1156372, 703269, 1308969, 1637161, 572207, 19762, 501560, 1731385, 1865529, 1534783, 534341, 264008, 417609, 1472849, 464722, 274260, 328532, 1630558, 2017119, 263008, 865122, 1458531, 875883, 1790320, 808821, 1387894, 1290617, 1074043, 507773, 522111, 1735554, 1513860, 590215, 1859975, 676745, 1922953, 306571, 941973, 266648, 222618, 147870, 193443, 324012, 733101, 402864, 1189297, 683954, 1296304, 1373624, 889790, 107458, 822727, 1920457, 9681, 352722, 618449, 1280468, 1362898, 1836499, 1673178, 42459, 1419741, 323040, 1281504, 1488878, 1182193, 2003449, 1645562, 1236991}	42796
Louis	Guardado	4/21/1990	{707585, 1319937, 1756166, 956423, 101897, 1198091, 1049619, 1114645, 1906199, 1322521, 1454621, 1158176, 1252384, 1036324, 1942056, 523313, 73778, 291380, 1954871, 285240, 758842, 1052732, 335937, 1054785, 1339974, 772169, 555087, 1686608, 1510995, 1739862, 859223, 1213015, 1884761, 312922, 1096797, 602206, 1354854, 1112679, 1529960, 1501802, 489070, 1497198, 1392755, 987768, 701056, 1058436, 191109, 1353862, 1084552, 323721, 126090, 346761, 435852, 2031761, 389268, 1164950, 37015, 1303704, 1556632, 17563, 47771, 998045, 1645727, 625313, 1201315, 1608867, 1581733, 518823, 762539, 620722, 1332402, 1644214, 1871543, 69308, 1150652, 58562, 1070277, 1199301, 710349, 500431, 576719, 1833688, 1638112, 132321, 2024162, 228583, 1010921, 172779, 798459, 976635, 543997, 1535745, 713477, 301830, 24839, 1225991, 1213705, 672524, 1033486, 531729, 889617, 1666833, 160536, 1443100, 455968, 1711399, 321832, 1224489, 1308969, 156972, 433966, 698159, 1263919, 1461043, 209716, 355125, 1719605, 1849144, 1731385, 560955, 1003835, 382269, 1779516, 1649984, 299841, 444225, 1007428, 534341, 1874248, 1485644, 315213, 1442126, 237406, 1343842, 566635, 875883, 752495, 326513, 1853297, 1387894, 1273207, 1408888, 839033, 233855, 1087360, 1192319, 1735554, 456579, 1045892, 1513860, 2020226, 1753991, 1922953, 1063307, 1897360, 723350, 266648, 834971, 1678235, 427936, 1096097, 193443, 637863, 654247, 1005993, 540589, 402864, 2002352, 683954, 438710, 1601462, 618426, 271293, 1426879, 393158, 1920457, 1950158, 53200, 1836499, 93141, 259541, 1419741, 907743, 908767, 749543, 929258, 1147370, 1915371, 1800176, 866802, 1081332, 954359, 2003449, 1179643}	56167
Belinda	Phillips	6/2/1966	{1654275, 98310, 408582, 319498, 550924, 1886732, 724494, 1083924, 306710, 1719832, 231961, 486428, 749085, 942623, 679462, 1778732, 1269293, 1357359, 442423, 285240, 1031737, 293434, 1854007, 651329, 1137220, 1140807, 520782, 555087, 515664, 1011281, 203350, 312922, 597084, 1303647, 1592927, 970337, 688738, 1786464, 845412, 1529960, 1497198, 1928818, 494195, 951411, 628345, 304251, 71292, 1488511, 581764, 1816708, 29318, 362125, 1559184, 2031761, 389268, 556701, 732321, 1492641, 1252003, 3748, 1558690, 1412262, 518823, 540328, 429225, 1608867, 1145524, 1940673, 1156290, 745673, 112330, 1960141, 211151, 820947, 1556180, 1600211, 1040089, 1299167, 142048, 366306, 1306346, 875244, 1247471, 1371376, 467697, 1814773, 841975, 798459, 713477, 301830, 824070, 1646344, 1644297, 672524, 1341708, 1750799, 160536, 244505, 682778, 1453850, 462114, 2036514, 1931559, 321832, 683816, 1308969, 465195, 1177901, 1263919, 849203, 209716, 355125, 738100, 1897780, 1252152, 757561, 1849144, 1150780, 1522492, 380222, 1603902, 786752, 984389, 264008, 802120, 1758536, 911180, 276817, 1129809, 191317, 649048, 1501528, 670560, 128354, 620388, 1091941, 82286, 1345390, 1469296, 1244019, 768373, 808821, 1387894, 1212792, 1290617, 1735554, 1922953, 622475, 1063307, 1320331, 909206, 1822102, 1572763, 1889186, 1868211, 173495, 566714, 1621947, 889790, 1286086, 797641, 41932, 1185740, 1819599, 1585105, 124371, 1836499, 1148893, 773598, 1158110, 1260510, 594913, 1281504, 1830367, 1418213, 295913, 929258, 436715, 1147370, 1915371, 343535, 1229295, 1349616, 335861, 870901, 2003449, 1406974}	25746
Arvilla	Sullivan	8/23/1946	{1294337, 1654275, 98310, 550924, 1527824, 397331, 748052, 1114645, 409626, 749085, 563229, 1104415, 1252384, 898081, 1533984, 1043491, 271908, 456232, 292394, 916522, 1676843, 1571382, 285240, 1031737, 242746, 1003579, 1220664, 1837624, 2023995, 607807, 335937, 1053252, 370245, 1303626, 474187, 644684, 134734, 555087, 632398, 1510995, 1739859, 203350, 312922, 818267, 712284, 1432668, 602206, 1842269, 1980512, 2030690, 845412, 1529960, 176235, 1497198, 2001007, 1261168, 494195, 278148, 126090, 212106, 1333903, 2031761, 1323666, 446107, 39072, 1608867, 518823, 429225, 527540, 1143997, 59584, 1130690, 1343682, 598212, 745673, 112330, 500431, 46295, 1638112, 453350, 1010921, 351979, 691949, 1247471, 806128, 1997554, 1162484, 1296629, 1814773, 1000185, 798459, 329470, 218366, 719102, 967427, 23300, 301830, 824070, 1646344, 1614601, 672524, 1472274, 288019, 160536, 157466, 635165, 1917725, 1428772, 1060647, 181544, 321832, 329001, 465195, 1308969, 1732906, 433966, 1058099, 739124, 557365, 757561, 867131, 1150780, 1464124, 1603902, 359743, 1777990, 802120, 159561, 1339210, 1829193, 911180, 1442126, 1450834, 1088854, 58199, 432985, 1161050, 310619, 1297245, 1102177, 293730, 620388, 1091941, 932713, 26474, 1367917, 4974, 1345390, 1469296, 348531, 861555, 1387894, 208760, 1636729, 282493, 699773, 1735554, 1951619, 1098629, 1937797, 436616, 1922953, 1063307, 1320331, 1323917, 1620882, 893844, 1763736, 108954, 94618, 834971, 201629, 1305500, 751007, 1889186, 193443, 637863, 269224, 1770416, 1610673, 1914801, 298420, 889790, 382399, 1225665, 847299, 162246, 797641, 36298, 1836499, 795605, 768982, 1651673, 1419741, 679911, 1147370, 1895410, 1461235, 1180660, 2003449, 1331196}	95710
