GivenName,Surname,Birthday,uid
robert,fife,10/22/1972,21423
douglas,gosnell,2/5/1978,68775
margarita,lessman,8/26/1977,58111
catherine,desilva,4/12/1939,13315
jennifer,smalls,5/30/1997,45689
susan,politte,2/5/1948,91626
sylvia,cates,6/28/1977,45445
leslie,shirk,4/1/1977,21766
benjamin,starns,2/10/1962,58538
gregory,halpin,10/24/1966,11658
edward,campos,3/20/1948,28303
martin,pitts,8/2/1948,54826
terry,woolsey,7/2/1978,52063
latisha,hosler,1/17/1974,22255
charlene,bramlett,2/9/2000,83233
alfred,ferrer,1/5/1972,67838
thomas,toombs,5/21/1959,77118
rafael,peters,3/21/1998,54298
carissa,hammonds,10/27/1995,85209
patricia,biscoe,3/4/1953,54475
rigoberto,skeen,9/15/1997,35880
florence,figueiredo,10/2/1990,16171
kathy,dunlap,10/14/1984,21670
gladys,sarratt,10/15/1960,34434
craig,bartsch,8/23/1941,14176
jerome,mullen,11/28/1995,94265
darrel,sauls,3/26/1943,50195
kenneth,lair,8/23/2003,79108
walter,kaufman,1/17/1952,34693
rebecca,mcknight,12/17/1978,15289
douglas,kistler,1/18/1956,41249
colleen,velasquez,1/4/1949,98692
christopher,hight,8/24/1940,43387
travis,guillen,3/20/1995,8340
marlin,byars,9/8/1983,67036
richard,boggs,10/14/1988,21855
michael,pesce,6/29/1951,21507
dorothy,blackwood,8/15/1939,46626
chassidy,horner,5/13/1978,27344
steven,balling,1/28/1948,81239
nathaniel,waldrop,10/21/1953,28827
pauline,condit,5/14/1999,17222
michael,bostwick,12/25/1948,63314
stacie,varela,10/30/1954,38686
andrew,blubaugh,10/23/1952,73477
carmen,ziegler,7/29/1947,44980
micah,mcglone,9/3/1989,38820
lindsay,babcock,6/23/1982,91137
douglas,davenport,9/24/1952,73008
kristi,provost,9/7/1973,23322
nerissa,campos,3/21/1969,53831
pauline,svendsen,4/21/1937,17728
patricia,toole,11/25/1969,10862
milton,mcneese,10/31/1994,14532
wesley,bettis,4/5/1975,35982
thelma,house,8/22/1992,12900
carrie,dahlquist,3/19/1966,15685
jonathan,quijada,10/7/1977,15590
patricia,stauffer,7/22/1962,93296
warren,goldston,7/10/1995,92401
joseph,bowes,1/9/1969,78400
charline,mccleary,8/14/1954,81442
rodolfo,vargas,12/28/1956,61643
bonnie,cohrs,6/30/1949,33704
gerald,crowe,10/28/1990,35823
clara,reppert,12/17/1940,50879
keven,black,12/16/1983,21361
laurie,mcphee,6/10/1987,94769
armando,flickinger,7/3/1978,55781
russell,cannady,8/24/1980,22680
carolyn,feist,11/29/1973,68376
bernice,segura,1/4/1986,12136
bernice,yelton,9/10/1964,88474
veronica,zavala,1/10/1960,33525
charleen,mowery,3/6/1961,5197
katheryn,ratliff,5/29/1968,8209
francisca,youngquist,8/27/1968,33166
catherine,gupta,2/1/1950,3152
andrew,saffold,7/20/1970,41636
kristen,costillo,4/19/1937,36765
clarence,acosta,3/22/1972,99363
kenneth,black,7/23/1990,21471
robert,kifer,6/1/1946,80140
ronald,walcott,12/28/1975,12165
esther,bays,2/21/1956,96964
richard,varela,5/10/1959,12513
richard,villegas,10/20/1949,18010
juanita,cardwell,6/22/1949,13989
richard,brower,2/23/1982,2032
eleanor,riojas,4/2/1958,96621
scott,sweat,2/1/1962,44859
melissa,blum,7/26/1978,98170
jerry,warnock,7/12/1969,31678
jessica,vasquez,7/24/1962,39605
reginald,singh,2/25/1957,14935
rafael,spinks,1/30/1975,84385
eugene,ritzman,11/24/2003,25744
david,negri,2/13/1939,33408
mitchell,vargas,10/26/1976,48215
christine,dudgeon,1/18/1980,68814
krystle,moffitt,9/20/1958,35269
armando,krebs,1/6/1955,82376
david,hooks,11/22/1944,98157
tabatha,rasmussen,4/10/1983,77067
kenneth,goodrich,3/5/1942,88719
cathryn,walls,10/10/1939,82120
brandy,hough,2/23/1995,87702
william,counts,8/14/1944,13220
clarence,lamy,7/12/1965,35512
nathaniel,graff,3/16/1968,37536
robert,banda,4/26/1941,58698
bonnie,sisson,1/12/1941,87309
susan,peabody,10/27/1981,52769
estelle,strang,6/22/1950,12603
patsy,studer,5/31/1978,76233
aurelia,krause,4/19/1960,60365
kevin,blalock,10/28/1958,28493
clarence,schmitz,8/13/1994,4970
mildred,bunch,7/15/1959,81685
virginia,woolard,3/25/1971,95639
robert,pals,3/9/1955,96818
scott,burger,7/3/1971,91828
claudette,coomer,7/18/1966,98296
patricia,mullen,12/16/1949,8059
theodore,galindo,4/13/1982,4963
cherry,slover,10/26/1974,63356
edward,larimore,8/10/1988,63592
margaret,barros,2/19/1950,68346
timothy,hubler,10/10/1996,99421
douglas,prevatte,2/5/1984,21794
deborah,schiavone,2/25/1974,85568
carolyn,lawing,2/26/1988,2934
debra,pietsch,5/24/1949,14402
stephen,grow,7/29/1968,37202
dorothy,yoder,12/15/1948,93058
wayne,bostic,9/10/1950,51544
betty,olmo,6/23/1978,37595
charles,wildermuth,4/27/1963,91911
william,vazquez,11/20/1983,28698
henry,trout,6/20/1965,41453
corey,bevill,9/8/1998,47195
stephen,brandow,8/27/1939,55613
phyllis,goulet,9/3/1957,36701
jeffery,alcock,5/30/1951,82567
annette,morales,8/4/1986,64975
allison,lugo,7/21/1980,42380
dawn,puig,7/16/1991,79313
sally,combs,5/13/1983,21516
mitchell,cloutier,2/1/1970,14876
christina,degraff,10/31/1943,10711
dolores,spears,7/9/1970,44164
florence,mash,8/6/1983,89586
becki,gaskill,3/22/1994,57912
deborah,grullon,5/17/1956,69747
james,mcknight,12/13/1993,52326
victoria,lundquist,6/29/1997,2814
allie,prom,5/19/1946,24400
bradley,domingues,5/30/1993,49847
regina,spain,3/12/1981,99004
warren,grice,7/24/1955,42978
charles,barrera,2/14/1964,20985
shirley,custis,6/14/1953,76422
scott,towner,6/29/1991,46379
ronald,blanks,6/10/1962,53217
woodrow,haag,3/21/1970,96087
kathryn,rosales,1/17/1965,21265
jacalyn,glass,6/23/1967,80566
raymond,maples,2/25/1956,50538
salvatore,schmidt,9/20/1984,6719
kevin,paiva,2/16/1993,35333
patricia,stump,6/17/1979,23930
vicky,furr,2/25/1984,16551
beatrice,aycock,3/25/1995,40000
wesley,vanzant,3/18/1961,96250
walter,dykes,9/13/1972,76506
richard,westcott,4/28/1940,35385
cordia,gause,6/1/1962,58066
cynthia,rosenberg,5/13/1985,86269
william,biggs,12/15/1979,65934
darrin,coughlin,5/23/1950,81370
arnoldo,calderon,12/23/1966,3046
shannon,mcafee,7/14/1970,17910
tiffany,holtz,1/16/1983,98413
blanca,kearns,8/19/1985,87574
christopher,petry,12/18/1940,99335
ramona,mirabal,4/29/1970,12423
jonathan,babcock,2/19/1997,27104
deborah,padilla,1/9/1979,48372
raymond,boyle,8/19/1992,43063
rhonda,cummings,6/24/1965,86429
phillip,youngs,8/29/1997,22168
frank,baca,10/15/1957,10648
mildred,aldaco,9/22/1986,12365
michelle,pinter,10/18/1974,16425
mildred,junkins,11/29/1963,9799
kyle,cyr,6/10/1976,74351
richard,pellot,9/15/1969,71328
melvin,boucher,2/25/1999,79723
amber,bevill,5/16/1969,60696
david,dykes,1/20/1970,52077
jeffrey,ellingson,8/13/1944,60712
albert,workman,7/25/1977,97817
johnny,delgado,6/1/1953,50176
jonathan,shackleford,1/9/1982,53262
johnnie,fedler,5/18/1943,99287
priscilla,ybarra,5/26/1972,65976
elizabeth,fultz,9/10/1957,50392
irene,mccombs,9/23/1941,27055
blake,feder,10/22/1951,29918
richard,mullen,8/20/1957,77435
ronald,stivers,1/31/2001,2981
austin,doolan,1/12/1967,35329
christian,hirt,4/17/1985,14423
willie,aguila,8/13/1993,17679
louisa,rosas,11/30/1948,12267
michelle,mcdonough,10/14/1949,44106
marsha,acevedo,11/23/1994,619
priscilla,depew,1/19/1983,64728
robin,crain,2/10/1961,33286
bobby,lamy,7/30/1965,40345
virginia,irons,4/21/1960,7492
herbert,schultz,5/17/1945,17648
rosaria,dussault,6/21/1941,63223
adrienne,inglis,7/24/2002,39493
gwendolyn,kauffman,10/23/1938,65837
nanette,brackin,12/15/1964,80867
mitchell,trower,8/17/1965,32464
porter,poore,12/30/1975,95696
angelina,meidinger,7/12/1962,66064
eugene,zuniga,5/10/1992,50355
errol,robles,5/27/1968,99125
drucilla,manzanares,2/21/1955,51039
bonnie,hammer,1/4/1998,98928
audrey,bays,12/18/1968,15882
kenneth,menjivar,10/10/1960,32939
alfred,barros,6/2/1960,76965
jannette,solorio,1/23/1993,26539
maurice,centers,5/26/1966,53434
frank,bohn,5/21/1996,62805
