GivenName,Surname,Birthday,uid
freddie,casas,7/18/1991,52306
william,lau,8/2/1977,44037
isiah,jent,12/16/1969,8212
bernard,ratliff,7/14/1968,42183
betty,balcom,1/29/1993,18304
belinda,rountree,4/10/1958,32355
margaret,goldner,9/26/1963,45455
audrey,bays,12/18/1968,15882
david,negri,2/13/1939,33408
wayne,bostic,9/10/1950,51544
elizabeth,robles,1/9/1949,4842
maurice,englert,6/23/1981,94826
steven,barbour,3/1/1997,33326
louise,brim,2/10/1944,54890
james,lail,12/14/2003,88823
joseph,coons,10/10/1968,80101
kelly,baca,9/18/1940,66890
edward,carrillo,5/26/1967,34247
rosemarie,alcala,1/2/1985,72626
robert,purdie,5/23/1997,7388
seth,dunlap,7/16/1957,67941
jean,bost,12/18/1950,67844
virginia,irons,4/21/1960,7492
morris,dunning,8/22/1987,60756
mitchell,cloutier,2/1/1970,14876
gloria,short,1/19/1969,9174
louis,bilbrey,6/4/1979,61969
roland,lukens,1/6/1938,74422
henry,pan,7/12/1970,45610
jerry,combs,3/24/1939,22915
ernest,figueiredo,7/13/1980,53375
robert,fife,10/22/1972,21423
clarence,kimmell,8/26/1983,96197
william,prioleau,10/18/1984,42007
