GivenName	Surname	Birthday	bloomfilter	uid
 Taylor  	Maria	06/22/1937	0001000000100001000000011010000000000010100000000000000100000000011001001100001100001000000000100000000000000010100000000000000000111000000000000000000001000100000000000001000101010001000001000001000100000000010100000001001011000000000001000000001001000000000000010000001000000001100000000110001000010000000000000000000010000000000110000000100010000000000001100000000000010000000000000100001000010000000000000000000110000000000001001010010100001001000000001000000100001000000000101000100000100000010000010100000101000000010000111100010000100000000000000000010001100000010000100100010100100100000010000100100010000000001010000110010001000010000000010000000000000001001100000000001000000000001000000000000100000000000000000100000010000011000010001110000000010001000000000010001001000000000000010100100100000000110010000000000000011010001000000000010000000101100000010100000000001000000000000001000010010000010000000000100000100000000000010000000000000000001000010000000000010110000000001000000000011011010010101100011000000010	96463
Rne  	Miles	02-14-1970	0000000010001101010000000010100100100000100010000000000100000100010100000101000000000000000011100000001000110010000000100000000100000000010000000000010001000010000010011000001101100101001000000000000011000101000000000010001100000000000100000000011000000000000000000001000000000000100010100100000000000010000000000100000010001100011000001000000010000011100100000000010010001000000010000001000000001000100110000000001100000010000010000001010000100000100000000000000000010000000010001000000100100010100000010001000100000100000000100100000100000000000000101100001000000000000000100010010000000000000000000000000000100010000000000000000000000100000000000000000001100000100000101000000000000101000000000010000000100000010011011000000000000011000000010100010000000001000100000000010100000010000010010010000000000000000000000000000000000000011001000000000100010000000000000100001100000000000000000000000110010001110010110100000000000000000000000001000010000000000000100100000000010000000000000000001101000000000000100101000000000000	52283
	Young	1993-11-12	0000010000000000000000000000000111000010100000000000001100010100000001000100000010100100000000100101000000100010000001000000000000010000101100001000000101000010010100000000000000000001001000000010000000000000100000000010001111100000100011010000000010100010000000000100001011000001000010000101000000000000000100000001000010001000001100001000100010011000000111010001010000000000000000100100000000110000000000000000011000000100001010000011010100000110001000100000000000000000101000011000000000100100010000010000000101011001010000100100000000001100000001010100000000000100010000100000100010000000010000101000001000000000001010000100100010000010000000000100000001000000110000101000000010000000000000000011000000010000000000000100000000010111000100010100100100000001000010000000010001000000100000010000100000000000100001000000000000000110011100001010001001001000001001100100000000010000000000000000000011000000110000010100000001000001100100000010000000000001000000100000101000010000100000011100100001001000000000001100000000001000	89309
 Gary	Roach	25/06/1980	0001010000000000000110000000000000000000100010010000000100000001001001000000000000010000000010100000000100000010001000100000000010000000000000000100100001000100000000100000000100001001000000000001100000000000000100100000001000000000010000001000000001000000100001000000010000000100001000001100000000000000010000100001010010100000100000000010001100000001000000100000000000000000001000000000000100011000000010000000000000000000100001000100110000000001000000000000000110001001000010000000000100100000000000011010100000111111010000100010000010000000001000000000101000000000000000000010000000000000100010100000000011000010000010001000000000000100100000000000000100000100001010000000000011010010100000000110000100101001000000000001001000000111000010001100000010010001000000000010011000000001010000110100000000000000100000000000000100001001001000000000101000100000000010000100000100000000000000100000000000100001011010000000100000100000100000101000000000110000111000010000100000010001001001001000000010000000100000001000001000000100	69330
Hereman		23/11/1938	0000010000000000010000010110000010000010100010000000001100000001011001001010000100100100000000100100000000010010101000000100000000010010000000000000100101000101100100000100001001000001001001000000010101010010100001111010001001001010000000000000000000100000000001010000000001001000100000110101000000000001000100000000110011000000000001000000011010100010010001000100000001000000000000110000000101000000000010001000010000000001010000000100010010001000000100000010010101000000000001000000000010100011010001010100000010010000010000100100000000100000000010000000000000100000011000000000000000000000000100101000001000000000010000000000000010000000000001100000000010010000000010000000000001010000010000000100000100000010000100000111010000001111000100000100001000000101000000000000000001000010111000011001101000000000000000001001000000000001001000000000111000010001101000000100000000110000000000000001011011000000110100000001000000110000000000000000000000000000100100100000000000010000000011000100000000000001000000000101000000100011	76710
eatrice	Bowrassa	7 Mar 1984	0011011000000100011000001010000100100010100000000000101100000100110000000000000000010110000000100001000000100010000001000010100000000001000000010000100000000000000101000101000001000001100101000010000100000110100000000010001000001000000000000000000100001001000001000010000000001000000011001110101101011001010010100000000010100000100000000100000100000011000100000000001000010010000000100010010000000001000000000000100110000101001011101010000010000011000100001010010110000000000010010001010000100000001100110010000001001001000010101100000100010000010101000101001000000010000000100100000100000000000001000010100000000000001010001000010100000001100000011100100010001111011100000000000100000000000000111000000000000000000000100000010000100111110000000100000000010001000001000000000001010001100000010000000000000000100000000100000000010010011000000000000000001000100000000100000100010000010001010010100000000000010010100000001001000000001011000000010000000001101010000000100000010010000010010100000000000000000000001101000000001111	84387
Caig	Frleman	15 Apr 1981	1001000010000100000000000000000000000100100011000000000110010100000000001001001100000000000000100000010000100111100000000100000000000000000000000000000100000100000110000000000001001011001000000000001000000000000100000010001000001000000000010100000000000001000000000000000000000000100010000100000100000001011000000100110010100000100000010000001100000000000000001000001110001000000000000001101100010000000010101101000100000001001011000100000000000000000000010000110010001000000010000000100010101011110000010101000100001000000011100000000000100000000000100110000000010011000000101000000100000000000000100010000110001010000000000110000001000100110000000010100000010000011010000000000001000000010000010100000100000001010000100000000100001011000010011100000100010001000000000000000100100001100010010100000100001000100000000000000010001010001001100101010000010000000000000100001100000000000000010001000000000000110110000000101001100000000000000000000110000000000100001101000000010000000001010000000001000001010000101001001000100000	67102
AMANDA	lawson III	8-27-1965	0000010001000100000001001000000000000000100010001000001100000000011000111000000100101010000000101000000010010110100000001011000000000001000000000001000000000101010001000001010001001001000000000000110000001010000000000000001000001000000001001000100010100000001110000000100010000000101000000100000000001011000100000000110011000000000001000100011000000000101000000000100101100000011001000000000100000000000000000100001001010011101000010100000010000000001000001000010000000000001000000000000000100111010000010100000000000000000000100000000000101000000000010001010010000000100000000000000100000101100000100000000000000100000100000000000000000011000000010000000001000000001010000000000001000000000010010100000000001000000000001101010000010111000000000100101000001101001000000000010010000000101000011000000000000010000000000000001000011110001011000000010010010001000000100100101010100000000000000011000000000010110010110110000100100000100100100000001000000000000111100000100001010010000001001000000000000001001000000000000000000000	54954
	Martinez Jr	12-05-1989	0000000000000001001001010010000100000000100010000000000100010000001100101110000010000101000010100001000001100010101100000000000000010000000100001000000000000111010001000000100010000011000000000001000000001000000100000100001100100000000110000000000100010010000001010100001001000000110000000100000000000010010000100001010010101000100000000000000110000100000000100000010100000100000001100000000001000000001001000000001000000000000010000000000010000000000000100001000010000010001010001100000000101100010000010100000101000000000000100000101010100000000000000100100000100000000000100000001000001000000010100000000001000000000010100110000010000100100000000000000001000000100000101000000000010000000000000010000000010010000000000000001000010111000100010100110000000001101110000000001000000011001010010000000000000000110011100000010111001000001000000010010001010000000000100100000110000000000000000001000000000000011110000000100000100000100001000011000010000010001010110000011000110000000000001000100001000000000000001000000000000000	92639
Stephanie	Heshman	05/09/1983	0000001000001000010000011000000011000000100010000100000100000100001000011110000100001100000001100100000000110010100010010001000000010010001010000100100001010101100001000100100001000001000010000000010000000000100000000111001000001000000000010100000000000000000010000000000001000111101110000100000001000001010100000000110011100000100010000000011100000000101100000000100101000000000001000000010101100000000001010100000000001111010000000100000000000000000010000001010111000000000011010000001010100111010001010100000010000000000000100001100000100100100000000000000000000000001011000011000010010000000000110000000010100011000000000000000000000010100000000000000000001000010010000000000001000100000100000100000111000011000100110111110000000111010100000100001101000101010110000000000000000011010000010010000000000011000000000011000000000000101101001000010110010001000000000100000100101000001100000001001000100000110010000000010100100000000000000000001000000000101100000000000110010000001001000000010000000001001000000001011000100000	5051
