uid,identifier
67035,jeromemiles122003
53907,ronaldlee10171989
64612,johnward2211948
55279,brianbohn10301982
49525,joemills311950
88795,bobbycurtis10201941
78670,katrinaperry5171956
70483,laurabrown8101993
969,terrysantos4101998
58872,joyceharris3101976
62158,coreywilliams251996
82651,sharonwhite7251947
80044,clydemartin8311975
84890,robertwhite1161949
44548,mamielopez6281957
54072,lindatanner1221970
3662,marybaker9221973
46158,careywatson10231985
56978,haroldray4261997
25353,nicolefulton3221962
29334,aaronhughes331944
39526,deliahurst611985
48975,charlesconner511952
39652,edwardtate12301968
22923,lisanash10281995
10147,gaylach1011944
93984,beatricesalas8161987
55220,garyjohnson1221990
5962,loriemerson8291965
73574,chrismoon3311967
57473,jameswilson2241970
70466,earlallen9131970
70610,gracekelly12281939
2740,terrywilliamson5211956
33494,eduardolin331958
25383,chrishall1051938
96880,joseolinger10221969
34462,michaeldenton6211985
17538,lisaschiro8261950
26780,carolinegentry6231990
94197,edwinbridges4101998
44076,michaelevans12291946
28840,bettysimone4171980
32699,keithodell7201992
58764,johnnoe8261951
57058,kevinchen12251963
92655,donnahall1151993
93809,stevebaker511960
74962,christiellender3271950
76856,brendawilson12241996
84130,robertlee12201983
91736,wandahurst6121967
81336,jameswendell4261945
51670,juanmabry6251957
98208,johnewen311984
53558,dawnrodgers4231939
89387,erichaney12271995
78236,elizabethwilson211967
31309,bessiewaller331984
36480,joecamper8141980
83170,ritahicks4271997
94725,troymiller1221984
49655,colinwest4271978
58217,maryjones2231994
53348,justinrose1261997
99375,karenkelsey10261975
25232,tarawalden2211998
413,marieyee4251955
16728,lyndonsmith9101952
2896,seanwilliams3132003
38491,alicenelson1181955
28991,robertrussell1211995
71481,davidhancock1221996
92576,evanmccluskey4101938
78470,louisemartin6251990
