uid,identifier
10517,orenweber3201989
14525,michaelford7261946
83752,nancylattimore4101988
67126,robertsmith1021969
38960,donaldhasler3181973
23119,maryprince8241983
18610,kevinlynch8211947
95855,megannoble12271984
64612,johnward2211948
71455,kennethmilford1221988
22060,clarahernandez12251980
79552,deweymurphy6221961
60575,michaellevins12241970
4273,donnawortman3241951
99642,justincopeland921946
28184,brendapaul7281993
94541,carolblevins421982
34332,susankelley1271956
80143,joesnyder7261982
3534,meganshinn8221963
51772,janicedavis1031995
50320,whitneyarias3141969
7450,davidjackson181942
14970,brianbird12201988
88754,ethelbarajas3291947
66712,bradmay4261937
62690,angelicawoods3221966
47283,mariejones1271966
19169,renalong10131968
87169,loribelcher9231977
91549,cassandralopez6151963
92778,nancyfields7241960
70803,melissakarl1121996
19684,mariawalters2281950
51216,corafinn2181942
80394,josesmith791972
75915,johnfischer7161937
56787,lenarobison12251967
68160,meganbrown2141998
93503,corahang3221944
84763,karenrussell7281960
1362,donaldsmith2241959
50998,michaeldavis9231988
70402,terrimills7181996
25822,erichale11201995
61265,wandaguinn781939
8038,trishaarmor1071988
85554,leeclark12171954
58589,josewilliams12251983
81338,bennyweeks7101969
7706,francisferguson2171942
69443,lelabrowne7211965
65430,dianajones10241969
48900,kennethemery6301957
19733,daleroe4131992
99123,michaelmckie4121975
50084,marianwhite2211996
62021,amandataylor12131996
17352,jameswilson12151967
68464,chriscole811993
20810,phyllisowens7121963
67057,jamescurtis7101961
25036,kayjackson1231996
75053,ivaanderson511992
8352,jeromemohr12251956
24011,idamiller741937
46705,davidskinner5181946
20681,roseclark5241993
2449,charlesloomis121945
21338,paulborders4211957
56219,kennethmason1171954
43719,michaeladams3271952
95809,minawitt1221983
28237,lindapace721993
44676,danielferguson221980
10748,sonyaburris5311978
82983,lydiaflowers7151960
42893,russellbergan4161995
32917,haroldevans3241983
42331,mariasalley3251969
2023,thomasmchugh8231959
78656,johnbell8141957
5614,davidjames4161980
47781,marthabuckley10141985
4118,randybolton621972
55677,davidthomas8271949
68974,annmcneal11201937
30353,marywalsh12271955
27038,williamcook161984
70228,jamesstone6171965
6928,robertdavila4251958
60404,earlblack161982
97957,bettythomas231963
7848,leannahines10311984
79404,elainecurran12201994
6449,ralphames5241974
39611,cynthialaird331985
49779,johnadams7121980
63043,sarahlee10231956
4281,jamesfoster4261967
40312,richardhurley1211967
22423,curtisgill8121977
88415,hildasmith2261968
48737,lucylane4261998
99519,lisalark11231984
7553,brucethomas1011939
38283,gordonowens141968
54297,emilylawson7221982
46631,sheenamorton10161953
77350,charlesdaniels231944
11378,salvadorramsey2281977
26715,allee381944
15840,janetthomas3251967
34913,daltoncyr421979
57923,arthurmiller1261992
53510,ryanseiler4181945
25645,miguelgray1231984
57792,pamelacohen11271998
86387,jamesstewart7151953
79316,andrewsmith611972
61958,lewistang1131976
53993,micheleparsons4271959
96269,janerichard9101938
81016,miguelmccord6251986
44782,susanking11261984
29156,craiglogan1211963
9015,joelbarron3241952
92213,deborahbennett7231954
72323,juantate8241992
22817,julierawls4221944
58568,jasontodd1251939
70730,williampearson5231964
99693,nancylove3261952
40120,britthernandez5271945
56682,marygracey5221958
74082,monteray1281958
32211,davidgraham1261959
57696,janetthomas5241965
39586,carlahale861955
81730,jasonbush521947
34755,ericarendon7221954
78944,carlbush6241945
71088,williecasey6131990
10474,allenanthony311983
3269,roxannehall12231985
64049,josephcampbell1161982
11616,marygist4171953
10346,ettaclark1271985
50987,jonmeredith5281968
51933,sarakahn521956
30179,debrajones311974
62018,johnscott711948
16599,williamperez5241976
53565,jesspalmer11241969
12276,nancywatson2151987
16558,karenmcallister6231979
9803,tonyspeece11201941
45823,jamessmith5291987
21067,luciosteffan8271938
48953,haroldcrain12171945
59940,josephallbright541971
43055,bobbylee8121960
59069,chadraleigh10261991
72451,marydavis7291945
30059,tedmiles4281978
89340,edwardowings181969
36000,williamaiken5291953
28226,debrawilliams1271973
63543,thomasbanh10151987
34838,michaeljones8261974
56951,paulahiner10241983
89199,rosietryon161975
39751,paulinethomas8101996
31725,katrinaperez7261942
97984,josejackson1231970
15475,bernardscott1271963
53831,nerissacampos3211969
39733,kathysantos11241952
83769,paulthorton9141987
56058,neilpharr7241968
76097,kimberlyalston11251994
9225,robynwilliams4221947
65799,toniarundell241993
6154,tracyharmon181943
969,terrysantos4101998
95545,ellawright5201998
77583,anitaholmes721989
62198,opalgabor8211956
18055,jameswhite12261978
58366,eileenmcburney3291957
91568,patriciadoney1221963
7884,randywitter1241969
91261,shawnalandon2101995
32361,davidburkett8231986
67844,jeanbost12181950
12377,charlesbrown4271983
21127,joewilson3221986
82077,rayburnett12241990
66368,kevinwhitley10151947
97976,deborawayne431976
19007,virginiafuller12181997
72102,leroysmith1271964
72039,donaldford2271987
88931,grahamhoffman851983
58983,garyschott7101947
40780,frankyoung4301988
65546,josecallahan5221985
31626,sonmcmiller2261990
32975,marythacker2171980
61302,sharonhopkins10151993
73193,marycollins311938
92318,jamesfreeman10221956
81517,normasmith741938
71108,margieslayton3221988
28097,billiesmith9251960
44555,karicohen3231937
56185,mariawood181967
64608,judithconner10131998
61895,donnasmith9141983
49311,garyellis6181953
3247,annerincon5141995
60215,juanballard8241995
83834,jeffevans5291967
25108,josesmith10221973
88751,johnhicks7241957
51164,kimberlysmith8131945
32979,alicemoore5271960
94351,rebeccaford5271982
19945,hermantalley8231996
91399,davidstaton611992
19167,christiegorman11271943
34854,lenorajones10201949
47419,dorothyparker1131957
54496,jerrypolanco12271988
33744,johnhines241967
71873,michaelmccary181940
46698,donniecross9161943
6691,deborawooten10131945
48207,bernardwilliams311955
68031,jameswilloughby221965
13396,rubyallman4121985
53997,kathysimmons4211958
16895,wadeguffey211968
78738,karamiller4211968
25508,vickieshaw11251996
69082,edwardhancock6171980
74131,martinwalter6221947
11820,scottbrown8271994
97556,vancemarks6131994
23116,thomasburden3211956
98631,seannichols3121950
65431,michaelehmann141959
37012,joanreed2131957
46054,ellenhamby361943
63636,oscargatlin2201953
