GivenName,Surname,Birthday,uid
julieta,spangler,1/1/1987,74446
sylvia,waters,11/26/1980,69117
shannon,nordquist,9/7/1979,57507
jennifer,minnich,9/18/1938,38798
elizabeth,childers,8/21/1980,67180
raymond,wilkerson,2/7/1951,26888
moses,vigil,5/1/1941,39468
melvin,boucher,2/25/1999,79723
margarita,lessman,8/26/1977,58111
stacey,spengler,1/14/1991,80579
nancy,bruton,8/16/1990,26776
luigi,mcdougal,6/17/1945,65631
raymond,sturgeon,9/23/1982,64258
thomas,baldree,9/14/1960,14243
aurelia,krause,4/19/1960,60365
theresa,berens,7/14/1954,38612
