uid,identifier
7646,calliebartos2131990
3951,velmareyes6281987
43975,johnmiller4221965
73955,jamesrose6131972
11394,normawilson5171940
67338,doramcewan2181970
68266,omarlyon8182002
96198,annhill1171958
98431,frankelliott1181955
7041,gracieglover241993
20018,sarahbowen1241953
15542,tomaswillis4211977
10346,ettaclark1271985
55279,brianbohn10301982
58423,victorsilva2161989
37214,sandramitchell4181945
26927,bryceheard12271943
49525,joemills311950
60317,sandrabates10151943
84965,troyshaner1231976
85907,normaleon331974
77838,nancyholmes10131944
88795,bobbycurtis10201941
48094,bethhoward511968
63818,thomaslarsen9221947
92096,feliciadavies5171994
34755,ericarendon7221954
10920,joanneberry7101954
72368,michaelpaine9151974
62158,coreywilliams251996
56364,davidgarza741959
85571,charlesbeals2211954
26775,anthonywallen281939
9624,larryhudson6251972
85730,julievaughn8231997
86949,patarce5231957
26185,dorothywest2151967
41653,garyconner3141970
7884,randywitter1241969
22529,susankelly1021959
10774,mariagibson4301985
35851,rogersmith161957
38922,markmclean9101943
46327,elizabethbaird7271951
91495,ivanpoole3281997
71036,marybolling10201994
13534,elizacarlton521995
29111,jamespauline10181956
3876,bobbygreen1021996
36361,rodneyscalise7241966
71404,davidmurray9241956
73858,stevemccomas3181996
78314,omarphipps7121964
1182,jonathanorr9181974
59138,carolynreed5121984
99448,kathleenrobson3211998
15984,dianebaker8121996
77852,jackielong12271970
60990,crystalladson7291967
84816,joandavis121984
66028,ireneheck2161998
81397,helencooper12281996
55941,angelasmith311956
27921,rosabaldwin3231977
56094,donnaross12291961
90998,bettybrown641991
95956,samueldry1121959
43006,mildredbergan9141968
61980,helenmains8211944
65934,williambiggs12151979
43945,cynthiagraves6241940
48532,davidhaun12181966
35552,melissalady521977
82831,arthurpenn7221966
39327,douglaspitts11251998
68869,braddavis8121983
78887,ashleydean721974
67404,gerrilavin311957
89063,paulwatson9261937
42754,laurawilley4121983
81640,beverlyward711995
30069,hectorboll7181943
94154,davidsasser7201979
80316,marcelathompson9131960
24055,michaellocke4101975
63587,nancybenn5211977
48975,charlesconner511952
17418,marybess3241971
85455,marthawinters8121996
55786,ronaldolsen511987
79337,daniellema1232001
40458,garretmclain12101955
47746,earlmoss8301992
16806,aidemorris6131990
2273,marybrown3291975
30635,carlandrews10201973
77993,shawnsmith9181970
68939,michaelbradley10271945
34638,douglastapley7121969
71700,kevinsmart1021969
31754,thomasclaire4161949
88476,amandagay911953
86644,paulaiken5261998
50121,briangilmore711959
2703,annmathis6241996
40768,dorinereilly7231944
62034,patriciakeller2201985
24552,davidglover1221998
12396,johnjerkins3171985
5285,kristenfarley4231993
73574,chrismoon3311967
23643,jameswatkins12181954
56584,jamescook11251988
36327,danegiles7271951
50488,richarddavis9171960
57473,jameswilson2241970
81653,carollowe3141998
